State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Year,Month,Day,Volatility,Risk_Index,Risk_Category
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Raddish,Raddish,Local,2026-12-03,2600,2600,2600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,2026-12-03,10000,10000,10000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,2026-12-03,3600,3600,3600,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Cowpea(Veg),Cowpea (Veg),Local,2026-12-03,4000,4000,4000,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,2026-12-03,8000,8000,8000,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,2026-12-03,3600,3600,3600,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,2026-12-03,2400,2400,2400,2026,12,3,0,0.0,
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,2026-12-03,2400,2400,2400,2026,12,3,0,0.0,
