State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Year,Month,Day,Volatility
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,2026-12-03,2000,2500,2250,2026,12,3,500
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Raddish,Raddish,Local,2026-12-03,2000,2500,2250,2026,12,3,500
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Green Avare(W),Other,Local,2026-12-03,4500,5000,4750,2026,12,3,500
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Karbuja(Musk Melon),Karbhuja,Local,2026-12-03,3000,3500,3250,2026,12,3,500
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Tamarind Fruit,Tamarind Fruit,Local,2026-12-03,13000,14000,13500,2026,12,3,1000
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,2026-12-03,12000,13000,12500,2026,12,3,1000
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Amla(Nelli Kai),Amla,Local,2026-12-03,5000,6000,5500,2026,12,3,1000
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,2026-12-03,2500,3000,2750,2026,12,3,500
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,2026-12-03,1800,2000,1900,2026,12,3,200
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2026-12-03,3500,3800,3650,2026,12,3,300
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,2026-12-03,4500,4800,4650,2026,12,3,300
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Banana - Green,Banana - Green,Local,2026-12-03,2500,3000,2750,2026,12,3,500
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,2026-12-03,5500,6000,5750,2026,12,3,500
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Beetroot,Beetroot,Local,2026-12-03,2000,2600,2300,2026,12,3,600
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Drumstick,Drumstick,Local,2026-12-03,4500,5000,4750,2026,12,3,500
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Tender Coconut,Tender Coconut,Local,2026-12-03,2500,3000,2750,2026,12,3,500
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),Amla,Local,2026-12-03,6500,7000,6750,2026,12,3,500
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2026-12-03,2000,3000,2500,2026,12,3,1000
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2026-12-03,2500,3000,2750,2026,12,3,500
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2026-12-03,3000,4000,3500,2026,12,3,1000
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,2026-12-03,2000,3000,2500,2026,12,3,1000
